channel,venue,year,facets,title,authors,acq_url,doi,key
acm-paywall,ICAIL,1989,bounded-deontics|intro,"Deep Models, Normative Reasoning and Legal Expert Systems",Trevor J. M. Bench-Capon,https://doi.org/10.1145/74014.74020,10.1145/74014.74020,conf/icail/Bench-Capon89
acm-paywall,ICAIL,2019,determinacy-frontier,Value assessment and revision in legal interpretation,Juliano Maranhão; Giovanni Sartor,https://doi.org/10.1145/3322640.3326709,10.1145/3322640.3326709,conf/icail/MaranhaoS19
acm-paywall,ICAIL,2017,fm-in-law,Performance improvement on legal model checking,Carlos Faciano; Sergio Mera; Fernando Schapachnik; Ana Haydée Di Iorio; Bibiana Luz Clara; Verónica Uriarte; María Fernanda Giaccaglia; María Belén Ruffa; Cristian Marcos,https://doi.org/10.1145/3086512.3086518,10.1145/3086512.3086518,conf/icail/FacianoMSICUGRM17
acm-paywall,ICAIL,2021,intro,Practical tools from formal models: the ECHR as a case study,Katie Atkinson; Joe Collenette; Trevor J. M. Bench-Capon; Kanstantsin Dzehtsiarou,https://doi.org/10.1145/3462757.3466095,10.1145/3462757.3466095,conf/icail/AtkinsonCBD21
acm-paywall,ICAIL,1989,intro,Hierarchically Organised Formalisations,Tom Routen,https://doi.org/10.1145/74014.74045,10.1145/74014.74045,conf/icail/Routen89
acm-paywall,ICAIL,2017,intro|determinacy-frontier,Interpreting contracts using english common law rules as stated by Lord Hoffmann,John Henderson; Trevor J. M. Bench-Capon,https://doi.org/10.1145/3086512.3086522,10.1145/3086512.3086522,conf/icail/HendersonB17
acm-paywall,ICAIL,2025,bounded-deontics|determinacy-frontier,Judicial Discretion as Normative Reasoning: Deontic Characterization of Judicial Decision Making with Answer Set Programming,Josephine Dik; Réka Markovich,https://doi.org/10.1145/3769126.3769220,10.1145/3769126.3769220,conf/icail/DikM25
acm-paywall,ICAIL,2005,bounded-deontics,Permission and Authorization in Normative Multiagent Systems,Guido Boella; Leendert W. N. van der Torre,https://doi.org/10.1145/1165485.1165526,10.1145/1165485.1165526,conf/icail/BoellaT05
acm-paywall,ICAIL,1997,bounded-deontics,Distinguishing Different Roles in Normative Reasoning,Leendert W. N. van der Torre; Yao-Hua Tan,https://doi.org/10.1145/261618.261657,10.1145/261618.261657,conf/icail/TorreT97
acm-paywall,ICAIL,2013,determinacy-frontier,Vagueness in law: a stimulus for &apos;artificial intelligence &amp; law&apos;,Doris Liebwald,https://doi.org/10.1145/2514601.2514628,10.1145/2514601.2514628,conf/icail/Liebwald13
acm-paywall,ICAIL,2007,determinacy-frontier|intro,NewMINT interpretation assistance system: United States Constitution First Amendment&apos;s initial 1344 interpretations,Layman E. Allen; Adam W. Tury,https://doi.org/10.1145/1276318.1276348,10.1145/1276318.1276348,conf/icail/AllenT07
acm-paywall,ICAIL,1991,intro,Separating World and Regulation Knowledge: Where is the Logic,Joost Breuker; Nienke den Haan,https://doi.org/10.1145/112646.112658,10.1145/112646.112658,conf/icail/BreukerH91
acm-paywall,ICAIL,1991,determinacy-frontier,More IA Needed in AI: Interpretation Assistance for Coping with the Problem of Multiple Structural Interpretations,Layman E. Allen; Charles S. Saxon,https://doi.org/10.1145/112646.112652,10.1145/112646.112652,conf/icail/AllenS91
acm-paywall,ICAIL,2023,intro|bounded-deontics,Computable Contracts by Extracting Obligation Logic Graphs,Sergio Servantez; Nedim Lipka; Alexa F. Siu; Milan Aggarwal; Balaji Krishnamurthy; Aparna Garimella; Kristian J. Hammond; Rajiv Jain,https://doi.org/10.1145/3594536.3595162,10.1145/3594536.3595162,conf/icail/ServantezLSAKGH23
acm-paywall,ICAIL,2003,bounded-deontics,Positive and Negative Expectations and the Deontic Nature of Social Conventions,Cristiano Castelfranchi; Luca Tummolini,https://doi.org/10.1145/1047788.1047819,10.1145/1047788.1047819,conf/icail/CastelfranchiT03
acm-paywall,ICAIL,2023,bounded-deontics,Multi-agent logic for reasoning about duties and powers in private law,Tianwen Xu; Fengkui Ju,https://doi.org/10.1145/3594536.3595133,10.1145/3594536.3595133,conf/icail/XuJ23
acm-paywall,ICAIL,1993,intro|determinacy-frontier,The Use of Meta-Rules in Rule Based Legal Computer Systems,Uri J. Schild; Shai Herzog,https://doi.org/10.1145/158976.158989,10.1145/158976.158989,conf/icail/SchildH93
acm-paywall,ICAIL,2003,bounded-deontics|fm-in-law,Specifying and Reasoning with Institutional Agents,Filipe Santos; Olga Pacheco,https://doi.org/10.1145/1047788.1047827,10.1145/1047788.1047827,conf/icail/SantosP03
acm-paywall,ICAIL,2019,bounded-deontics|intro,"The False, the Former, and the Parish Priest",Robert van Doesburg; Tom M. van Engers,https://doi.org/10.1145/3322640.3326718,10.1145/3322640.3326718,conf/icail/DoesburgE19
acm-paywall,ICAIL,1991,intro,Indian Central Civil Service Pension Rules: A Case Study in Logic Programming Applied to Regulations,Marek J. Sergot; A. S. Kamble; K. K. Bajaj,https://doi.org/10.1145/112646.112661,10.1145/112646.112661,conf/icail/SergotKB91
acm-paywall,ICAIL,2005,intro,Dynamics of Legal Provisions and its Representation,Jacek Martinek; Jolanta Cybulka,https://doi.org/10.1145/1165485.1165489,10.1145/1165485.1165489,conf/icail/MartinekC05
acm-paywall,ICAIL,2005,determinacy-frontier,A Taxonomy for Modelling Discretionary Decision Making in the Legal Domain,Uri J. Schild; John Zeleznikow,https://doi.org/10.1145/1165485.1165495,10.1145/1165485.1165495,conf/icail/SchildZ05
acm-paywall,ICAIL,2003,intro|fm-in-law,An Executable Specification of an Argumentation Protocol,Alexander Artikis; Marek J. Sergot; Jeremy Pitt,https://doi.org/10.1145/1047788.1047790,10.1145/1047788.1047790,conf/icail/ArtikisSP03
acm-paywall,ICAIL,1993,bounded-deontics,Violation of Norms,Tina Smith,https://doi.org/10.1145/158976.158983,10.1145/158976.158983,conf/icail/Smith93
acm-paywall,ICAIL,2009,determinacy-frontier|intro,Using critical questions to disambiguate and formalize statutory provisions,Matthias Grabmair; Kevin D. Ashley,https://doi.org/10.1145/1568234.1568273,10.1145/1568234.1568273,conf/icail/GrabmairA09
acm-paywall,ICAIL,2001,intro,Power: Using UML/OCL for modelling legislation - an application report,Tom M. van Engers,https://doi.org/10.1145/383535.383554,10.1145/383535.383554,conf/icail/Engers01
acm-paywall,ICAIL,2003,intro|fm-in-law,Logic-Based Regulation Compliance-Assistance,Shawn Kerrigan; Kincho H. Law,https://doi.org/10.1145/1047788.1047820,10.1145/1047788.1047820,conf/icail/KerriganL03
acm-paywall,ICAIL,2021,fm-in-law|intro,Modelling legal procedures,Antonino Rotolo; Clara Smith,https://doi.org/10.1145/3462757.3466089,10.1145/3462757.3466089,conf/icail/RotoloS21
acm-paywall,ICAIL,1987,intro,A Prolog Model of the Income Tax Act of Canada,D. M. Sherman,https://doi.org/10.1145/41735.41750,10.1145/41735.41750,conf/icail/Sherman87
acm-paywall,ICAIL,2003,intro|determinacy-frontier,Improving Legal Quality - an application report,Tom M. van Engers; Margherita R. Boekenoogen,https://doi.org/10.1145/1047788.1047844,10.1145/1047788.1047844,conf/icail/EngersB03
acm-paywall,ICAIL,2001,bounded-deontics,Norms and time in agent-based systems,Tiberiu Stratulat; Françoise Clérin-Debart; Patrice Enjalbert,https://doi.org/10.1145/383535.383556,10.1145/383535.383556,conf/icail/StratulatCE01
acm-paywall,ICAIL,2011,bounded-deontics|intro,Modelling semantic profiles in legislative documents for enhanced norm accessibility,Tommaso Agnoloni; Enrico Francesconi,https://doi.org/10.1145/2018358.2018374,10.1145/2018358.2018374,conf/icail/AgnoloniF11
acm-paywall,ICAIL,2001,bounded-deontics,An action-based ontology of legal relations,Guido Boella; Lyda Favali; Leonardo Lesmo,https://doi.org/10.1145/383535.383566,10.1145/383535.383566,conf/icail/BoellaFL01
acm-paywall,ICAIL,2003,fm-in-law,Modelling Legal Reasoning in a Mathematical Environment through Model-Theoretic Semantics,Samuel M. Brasil Jr.; Berilhes Borges Garcia,https://doi.org/10.1145/1047788.1047833,10.1145/1047788.1047833,conf/icail/BrasilG03
acm-paywall,ICAIL,2021,fm-in-law|intro,Interactive system for arranging issues based on PROLEG in civil litigation,Ken Satoh; Kazuko Takahashi; Tatsuki Kawasaki,https://doi.org/10.1145/3462757.3466096,10.1145/3462757.3466096,conf/icail/SatohTK21
acm-paywall,ICAIL,1989,intro,ASSYST - Computer Support for Guideline Sentencing,Eric Simon; Gerry Gaes,https://doi.org/10.1145/74014.74039,10.1145/74014.74039,conf/icail/SimonG89
acm-paywall,ICAIL,2001,bounded-deontics,Reasoning about the objects of attitudes and operators: Towards a disquotation theory for representation of propositional content,Steven O. Kimbrough,https://doi.org/10.1145/383535.383557,10.1145/383535.383557,conf/icail/Kimbrough01
acm-paywall,ICAIL,1993,intro,"Controlling and Augmenting Legal Inferencing: ysh, a Case Study",Graham Greenleaf; Andrew Mowbray,https://doi.org/10.1145/158976.158996,10.1145/158976.158996,conf/icail/GreenleafM93
acm-paywall,ICAIL,2005,intro,Computational Law,Nathaniel Love; Michael R. Genesereth,https://doi.org/10.1145/1165485.1165517,10.1145/1165485.1165517,conf/icail/LoveG05
acm-paywall,ICAIL,1997,intro,More than wyshful Thinking: AustLII&apos;s Legal Inferencing via the World Wide Web,Graham Greenleaf; Andrew Mowbray; Geoffrey King; Simon Cant; Philip Chung,https://doi.org/10.1145/261618.261629,10.1145/261618.261629,conf/icail/GreenleafMKCC97
acm-paywall,ICAIL,2003,intro,Using Configuration Technology as the Core of a Legal Decision Support System,Erik Roland van der Meer; I. S. Henriksen; Henrik Reif Andersen,https://doi.org/10.1145/1047788.1047824,10.1145/1047788.1047824,conf/icail/MeerHA03
acm-paywall,ICAIL,2001,intro|determinacy-frontier,Advisory systems for pro se litigants,Karl Branting,https://doi.org/10.1145/383535.383552,10.1145/383535.383552,conf/icail/Branting01
acm-paywall,ICAIL,2001,intro,Automated reasoning with legal XML documents,Laurence L. Leff,https://doi.org/10.1145/383535.383560,10.1145/383535.383560,conf/icail/Leff01
acm-paywall,ICAIL,2023,intro|cnl,Improving Translation of Case Descriptions into Logical Fact Formulas using LegalCaseNER,May Myo Zin; Ha-Thanh Nguyen; Ken Satoh; Saku Sugawara; Fumihito Nishino,https://doi.org/10.1145/3594536.3595141,10.1145/3594536.3595141,conf/icail/ZinNSSN23
acm-paywall,ICAIL,2001,cnl|intro,AustLII&apos;s Aide - Natural language legislative rulebases,Russell Allen; Philip Chung; Andrew Mowbray; Graham Greenleaf,https://doi.org/10.1145/383535.383564,10.1145/383535.383564,conf/icail/AllenCMG01
acm-paywall,ICAIL,2007,determinacy-frontier|intro,Representational complexity in law,Harry Surden; Michael R. Genesereth; Bret Logu,https://doi.org/10.1145/1276318.1276355,10.1145/1276318.1276355,conf/icail/SurdenGL07
acm-paywall,ICAIL,1993,intro|fm-in-law,Developing Legal Knowledge Based Systems Using Decision Tables,Jan Vanthienen; F. Robben,https://doi.org/10.1145/158976.159011,10.1145/158976.159011,conf/icail/VanthienenR93
acm-paywall,ICAIL,2001,intro,Design and implementation of GungaWeb: an application of classical expert system technology to the production of Web-based commercial systems,David E. Woodin,https://doi.org/10.1145/383535.383548,10.1145/383535.383548,conf/icail/Woodin01
acm-paywall,ICAIL,2015,intro|determinacy-frontier,How to ground a language for legal discourse in a prototypical perceptual semantics,L. Thorne McCarty,https://doi.org/10.1145/2746090.2746091,10.1145/2746090.2746091,conf/icail/McCarty15
acm-paywall,ICAIL,1997,intro,Determination of Residence Status for Taxation Law: Development of a Rule-Based Expert System,Rodney Fisher,https://doi.org/10.1145/261618.261649,10.1145/261618.261649,conf/icail/Fisher97
jurix-archive,JURIX,2011,intro|cnl,On Rule Extraction from Regulations,Adam Z. Wyner; Wim Peters,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-981-3-113,conf/jurix/WynerP11
jurix-archive,JURIX,2011,bounded-deontics,Three Concepts of Defeasible Permission,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-981-3-63,conf/jurix/GovernatoriORS11
jurix-archive,JURIX,2013,bounded-deontics|intro,Heuristics for Licenses Composition,Guido Governatori; Ho-Pun Lam; Antonino Rotolo; Serena Villata; Fabien Gandon,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-359-9-77,conf/jurix/GovernatoriLRVG13
jurix-archive,JURIX,2010,bounded-deontics,Representations of Time within Normative MAS,Clara Smith; Antonino Rotolo; Giovanni Sartor,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-682-9-107,conf/jurix/SmithRS10
jurix-archive,JURIX,2016,bounded-deontics,When and How to Violate Norms,Trevor J. M. Bench-Capon; Sanjay Modgil,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-726-9-43,conf/jurix/Bench-CaponM16
jurix-archive,JURIX,2015,bounded-deontics,Burden of Compliance and Burden of Violation,Guido Governatori,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-609-5-31,conf/jurix/Governatori15
jurix-archive,JURIX,2012,determinacy-frontier,Narrowing Legal Concepts,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-167-0-51,conf/jurix/GovernatoriORS12
jurix-archive,JURIX,2010,intro|bounded-deontics,Temporal Dimensions in Rules Modelling,Monica Palmirani; Guido Governatori; Giuseppe Contissa,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-682-9-159,conf/jurix/PalmiraniGC10
jurix-archive,JURIX,2015,bounded-deontics,Permissions in Deontic Event-Calculus,Guido Governatori; Mustafa Hashmi,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-609-5-181,conf/jurix/GovernatoriH15
jurix-archive,JURIX,2008,fm-in-law,An Algorithm for Business Process Compliance,Guido Governatori; Antonino Rotolo,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-58603-952-3-186,conf/jurix/GovernatoriR08
jurix-archive,JURIX,2016,cnl|intro,Towards a Methodology for Formalizing Legal Texts in LegalRuleML,Adeline Nazarenko; François Lévy; Adam Z. Wyner,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-726-9-149,conf/jurix/NazarenkoLW16
jurix-archive,JURIX,2014,determinacy-frontier,Interpretative Argumentation Schemes,Douglas Walton; Fabrizio Macagno; Giovanni Sartor,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-468-8-21,conf/jurix/WaltonMS14
jurix-archive,JURIX,2009,intro,Translating the Japanese Presupposed Ultimate Fact Theory into Logic Programming,Ken Satoh; Masahiro Kubota; Yoshiaki Nishigai; Chiaki Takano,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-082-7-162,conf/jurix/SatohKNT09
jurix-archive,JURIX,2011,bounded-deontics|intro,"Permissions in Contracts, a Logical Insight",Gordon J. Pace; Fernando Schapachnik,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-981-3-140,conf/jurix/PaceS11
jurix-archive,JURIX,2009,intro|determinacy-frontier,Rule-based versus Principle-based Regulatory Compliance,Brigitte Burgemeestre; Joris Hulstijn; Yao-Hua Tan,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-082-7-37,conf/jurix/BurgemeestreHT09
jurix-archive,JURIX,2014,bounded-deontics|fm-in-law,Analysing Norms with Transition Systems,Trevor J. M. Bench-Capon,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-468-8-29,conf/jurix/Bench-Capon14
jurix-archive,JURIX,2010,fm-in-law|intro,Model Checking Legal Documents,Daniel Gorín; Sergio Mera; Fernando Schapachnik,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-682-9-151,conf/jurix/GorinMS10
jurix-archive,JURIX,2012,bounded-deontics|intro,Types of Rights in Two-Party Systems: A Formal Analysis,Gordon J. Pace; Fernando Schapachnik,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-167-0-105,conf/jurix/PaceS12
jurix-archive,JURIX,2015,bounded-deontics,Influence and Responsibility: A Logical Analysis,Emiliano Lorini; Giovanni Sartor,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-609-5-51,conf/jurix/LoriniS15
jurix-archive,JURIX,2008,intro|fm-in-law,Automated Legal Assessment in OWL 2,Saskia van de Ven; Joost Breuker; Rinke Hoekstra; Lars Wortel,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-58603-952-3-170,conf/jurix/VenBHW08
jurix-archive,JURIX,2015,bounded-deontics,Extracting Hohfeldian Relations from Text,Wim Peters; Adam Z. Wyner,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-609-5-189,conf/jurix/PetersW15
jurix-archive,JURIX,2016,intro|determinacy-frontier,Perspectives on the Formal Representation of the Interpretation of Norms,Robert van Doesburg; Tom M. van Engers,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-726-9-183,conf/jurix/DoesburgE16
jurix-archive,JURIX,2016,intro,Describing Legal Policies as Story Tropes in Normative Systems,Matthew Thompson; Julian A. Padget; Ken Satoh,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-726-9-207,conf/jurix/ThompsonPS16
jurix-archive,JURIX,2008,intro,Formal Aspects of Legislative Meta-Drafting,Carlo Biagioli; Davide Grossi,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-58603-952-3-192,conf/jurix/BiagioliG08
jurix-archive,JURIX,2010,fm-in-law|bounded-deontics,Reasoning about Normative Systems,Wiebe van der Hoek,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-682-9-3,conf/jurix/Hoek10
jurix-archive,JURIX,2012,determinacy-frontier,Formalising a legal opinion on a legislative proposal in the ASPIC+ framework,Henry Prakken,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-167-0-119,conf/jurix/Prakken12
jurix-archive,JURIX,2010,intro|fm-in-law,Semantic Analysis of Paragraphs Consisting of Multiple Sentences - Towards Development of a Logical Formulation System,Kenji Takano; Makoto Nakamura; Yoshiko Oyama; Akira Shimazu,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-682-9-117,conf/jurix/TakanoNOS10
jurix-archive,JURIX,2012,intro,Computational data protection law: trusting each other offline and online,William J. Buchanan; Lu Fan; Alistair Lawson; Burkhard Schafer; Russel Scott; Christoph Thuemmler; Omair Uthmani,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-167-0-31,conf/jurix/BuchananFLSSTU12
jurix-archive,JURIX,2009,intro,Emerald: Legal Knowledge Engineering Using OWL and Rules,András Förhécz; Gábor Korösi; András Millinghoffer; György Strausz,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-60750-082-7-53,conf/jurix/ForheczKMS09
jurix-archive,JURIX,2015,intro,Business Process Management for Legal Domains: Supporting Execution and Management of Preliminary Injunctions,Federico Capuzzimati; Andrea Violato; Matteo Baldoni; Guido Boella,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-609-5-149,conf/jurix/CapuzzimatiVBB15
jurix-archive,JURIX,2015,bounded-deontics,No Match-making but Biconditionals: - Agents and the Role of the State in Legal Relations,Réka Markovich,jurix.nl / IOS FAIA (largely OA; fetch by hand),10.3233/978-1-61499-609-5-161,conf/jurix/Markovich15
open,DEON,2004,bounded-deontics,"Defeasible Logic: Agency, Intention and Obligation",Guido Governatori; Antonino Rotolo,http://espace.library.uq.edu.au/view/UQ:9638/deon04.pdf,10.1007/978-3-540-25927-5_8,conf/deon/GovernatoriR04
open,DEON,2008,bounded-deontics,Changing Legal Systems: Abrogation and Annulment Part I: Revision of Defeasible Theories,Guido Governatori; Antonino Rotolo,http://espace.library.uq.edu.au/view/UQ:134084/part1.pdf,10.1007/978-3-540-70525-3_2,conf/deon/GovernatoriR08
open,DEON,1996,bounded-deontics,Towards a Computational Treatment of Deontic Defeasibility,Alberto Artosi; Guido Governatori; Giovanni Sartor,https://espace.library.uq.edu.au/view/UQ:9610/DEON96.pdf,10.1007/978-1-4471-1488-8_2,conf/deon/ArtosiGS96
open,DEON,2004,bounded-deontics,Designing a Deontic Logic of Deadlines,Jan M. Broersen; Frank Dignum; Virginia Dignum; John-Jules Ch. Meyer,https://dspace.library.uu.nl/handle/1874/11502,10.1007/978-3-540-25927-5_5,conf/deon/BroersenDDM04
open,DEON,2008,bounded-deontics,Introducing Grades in Deontic Logics,Pilar Dellunde; Lluís Godo,http://www.iiia.csic.es/files/pdfs/1659.pdf,10.1007/978-3-540-70525-3_19,conf/deon/DellundeG08
open,DEON,2010,bounded-deontics,Obligations and Prohibitions in Talmudic Deontic Logic,Michael Abraham; Dov M. Gabbay; Uri J. Schild,http://orbilu.uni.lu/handle/10993/15940,10.1007/978-3-642-14183-6_13,conf/deon/AbrahamGS10
open,DEON,2008,bounded-deontics,Reactive Kripke Models and Contrary to Duty Obligations,Dov M. Gabbay,http://orbilu.uni.lu/handle/10993/15889,10.1007/978-3-540-70525-3_13,conf/deon/Gabbay08
open,DEON,2006,bounded-deontics|fm-in-law,"Strategic Deontic Temporal Logic as a Reduction to ATL, with an Application to Chisholm&apos;s Scenario",Jan M. Broersen,https://dspace.library.uu.nl/handle/1874/19972,10.1007/11786849_7,conf/deon/Broersen06
open,DEON,2012,bounded-deontics,Temporal Deontic Logic for the Generalised Chisholm Set of Contrary to Duty Obligations,Dov M. Gabbay,https://orbilu.uni.lu/handle/10993/26116,10.1007/978-3-642-31570-1_7,conf/deon/Gabbay12
open,DEON,2006,bounded-deontics,A Logical Architecture of a Normative System,Guido Boella; Leendert W. N. van der Torre,http://link.springer.com/chapter/10.1007/11786849_5,10.1007/11786849_5,conf/deon/BoellaT06
open,DEON,1996,bounded-deontics,"A Modal Approach to Intentions, Commitments and Obligations: Intention plus Commitment Yields Obligation",Frank Dignum; John-Jules Ch. Meyer; Roel J. Wieringa; Ruurd Kuiper,https://ris.utwente.nl/ws/files/6139830/dignum96modal.pdf,10.1007/978-1-4471-1488-8_5,conf/deon/DignumMWK96
open,DEON,2006,bounded-deontics,Counts-as: Classification or Constitution? An Answer Using Modal Logic,Davide Grossi; John-Jules Ch. Meyer; Frank Dignum,https://dspace.library.uu.nl/handle/1874/19680,10.1007/11786849_11,conf/deon/GrossiMD06
open,DEON,2006,bounded-deontics,Delegation of Power in Normative Multiagent Systems,Guido Boella; Leendert W. N. van der Torre,http://link.springer.com/chapter/10.1007/11786849_6,10.1007/11786849_6,conf/deon/BoellaT06a
open,DEON,2014,bounded-deontics,&quot;Sing and Dance!&quot; - Input/Output Logics without Weakening,Xavier Parent; Leendert W. N. van der Torre,http://orbilu.uni.lu/handle/10993/24914,10.1007/978-3-319-08615-6_12,conf/deon/ParentT14
open,DEON,2004,bounded-deontics,Collective Obligations and Agents: Who Gets the Blame?,Davide Grossi; Frank Dignum; Lambèr M. M. Royakkers; John-Jules Ch. Meyer,https://dspace.library.uu.nl/bitstream/handle/1874/19701/dignum_04_collective.pdf?sequence=1&isAllowed=y,10.1007/978-3-540-25927-5_9,conf/deon/GrossiDRM04
open,DEON,2010,bounded-deontics,Deontic Redundancy: A Fundamental Challenge for Deontic Logic,Leendert W. N. van der Torre,http://link.springer.com/chapter/10.1007/978-3-642-14183-6_4,10.1007/978-3-642-14183-6_4,conf/deon/Torre10
open,DEON,2010,bounded-deontics,Avoiding Deontic Explosion by Contextually Restricting Aggregation,Joke Meheus; Mathieu Beirlaen; Frederik Van De Putte,https://biblio.ugent.be/publication/1854791,10.1007/978-3-642-14183-6_12,conf/deon/MeheusBP10
open,DEON,2010,bounded-deontics,Moral Particularism and Deontic Logic,Xavier Parent,http://orbilu.uni.lu/handle/10993/14547,10.1007/978-3-642-14183-6_8,conf/deon/Parent10
open,DEON,2014,bounded-deontics,Toward a Linguistic Interpretation of Deontic Paradoxes - Beth-Reichenbach Semantics Approach for a New Analysis of the Miners Scenario,Dov M. Gabbay; Livio Robaldo; Xin Sun; Leendert W. N. van der Torre; Zohreh Baniasadi,https://orbilu.uni.lu/handle/10993/26837,10.1007/978-3-319-08615-6_9,conf/deon/GabbayRSTB14
open,DEON,1996,bounded-deontics,Must I Do What I Ought? (Or Will the Least I Can Do Do?),Paul McNamara,https://philpapers.org/archive/MCNMID.pdf,10.1007/978-1-4471-1488-8_9,conf/deon/McNamara96
open,DEON,2010,bounded-deontics,Introducing Exclusion Logic as a Deontic Logic,Richard Evans,https://philpapers.org/archive/EVAIEL.pdf,10.1007/978-3-642-14183-6_14,conf/deon/Evans10
